business_status|geometry|icon|icon_background_color|icon_mask_base_uri|name|photos|place_id|rating|reference|scope|types|user_ratings_total|vicinity|opening_hours|plus_code|price_level|permanently_closed|lat|lon
OPERATIONAL|POINT (-78.4573401 -0.1099149)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Mayflower|"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114018803823783434586"">Alex Carrera</a>'], 'photo_reference': 'Aaw_FcLcn1cjb7mQ5RwiRzrJ02GZp4x4no1cFm-8LvCaqy-Cy5cWFmQ0qarf58_QFbo7YrZVQh3Y7U4wsv844dwy6mpvNW7upg8TXQD5l-LosAPDIm9JWDTKETviAMmsCUImU8jFRNyB89SaFN8gSxpdYxJWqCFZmRQQ2FeoNsDhIPrf95ut', 'width': 1920}]"|ChIJV7Hz9nWP1ZERobSmvSuurm0|4.0|ChIJV7Hz9nWP1ZERobSmvSuurm0|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|56.0|VGRV+23M, Panamericana Norte, Quito|{'open_now': False}||||-0.1099149|-78.4573401
OPERATIONAL|POINT (-78.4652594 -0.1198871)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Los Encebollados de Panchito|"[{'height': 3235, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109983920767384448899"">Los Encebollados de Panchito</a>'], 'photo_reference': 'Aaw_FcJGCvSM3R4o2gr8aPKut6nJTS6Y_05ZQEzSePmnM3RylgpyqIqVtOrsG8TVVT55V0wB9rtHRPUQEdu_t6iH1YI6mktZLDSSCJ3tYi2yP8bpVCSM84uvjlvBgrR6kD0ynAOe8LhdAuOAQI71gEebprpDCR_82dSIbSvxMIWa-hW8uukb', 'width': 5009}]"|ChIJ_36TKIyP1ZERhEe3QEB4Qic|4.5|ChIJ_36TKIyP1ZERhEe3QEB4Qic|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|231.0|Avenida Jorge Garces, Quito|{'open_now': True}|{'compound_code': 'VGJM+2V Quito, Ecuador', 'global_code': '67F3VGJM+2V'}|||-0.1198871|-78.4652594
OPERATIONAL|POINT (-78.4575256 -0.1084616)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Ch Farina|"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108577688963946097745"">Jonathan Alexander Quezada Bermeo</a>'], 'photo_reference': 'Aaw_FcKV49KQXNqVO8ROS3Kg14Quio4n4RtVfpgwUmy-egP0a1COe2gTECkrGYdT8tqbLwiZAsVPZWHzBy-e10PJVCQE8w-7dU8BKqUk8nFWfhJSe0s4X3KmSWDi-KzNM7HXyEQ0xtOCCU15qqnPjOCdpePhwnogpz12YAXGL6pS3E9m6eFp', 'width': 4032}]"|ChIJfRqe5nSP1ZERZvapRehtMWs|4.2|ChIJfRqe5nSP1ZERZvapRehtMWs|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|104.0|En Portal Shopping Patio de comidas, Panamericana norte, y, Quito|{'open_now': False}|{'compound_code': 'VGRR+JX Quito, Ecuador', 'global_code': '67F3VGRR+JX'}|2.0||-0.1084616|-78.4575256
OPERATIONAL|POINT (-78.46539229999999 -0.1229637)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|La casucha del manaba|"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109800104300181113458"">La casucha del manaba</a>'], 'photo_reference': 'Aaw_FcKUD_T3tpDcTrWRQunOVELSipEK_yVOhyNPUWJyr9gu8xiIpvhVDuS8sVdn0cG5AYRyxBjdyLEQ6MV01Q-5PyNNIzKf_U9QBE4X6qIDOC33k5KaayYaorq3VQAMfGaFNXYKBdNXsDSYF6kJu8mvupAgzcge3LMGVD02Z5k71iKIwuG8', 'width': 3096}]"|ChIJIyZ_bY6P1ZERDEm7QJkxvWA|4.5|ChIJIyZ_bY6P1ZERDEm7QJkxvWA|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|65.0|Calle, César Endara N64-229, Quito|{'open_now': False}|{'compound_code': 'VGGM+RR Quito, Ecuador', 'global_code': '67F3VGGM+RR'}|||-0.1229637|-78.46539229999999
OPERATIONAL|POINT (-78.4533703 -0.1075254)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Pizza Hut Carapungo|"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104385123212801088995"">Pizza Hut Carapungo</a>'], 'photo_reference': 'Aaw_FcLCc5uZdQBxs5e5cOLlmAuXyS3Grz8TE1NRIes6KMxjkyn9df00LiluzhsMN5W9efXQOqWy1mvLUjn1MJqp2FF4WCOjoXdtIiQ-YFiKYHvjDQuynRrfb4eyQnYkoq9S8TvIS3tzEe0uHjGrKji8UlWV6BzLBHyubcXZI5c2D3jbHTGW', 'width': 720}]"|ChIJCXRg13SP1ZERIye7fqfy_ho|4.2|ChIJCXRg13SP1ZERIye7fqfy_ho|GOOGLE|['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']|331.0|Avenida Padre Luis Vaccari, Quito|{'open_now': False}|{'compound_code': 'VGRW+XM Quito, Ecuador', 'global_code': '67F3VGRW+XM'}|2.0||-0.1075254|-78.4533703
OPERATIONAL|POINT (-78.452833 -0.1078888)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Los Ceviches de la Rumiñahui|"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112490989502358943943"">Nelson Trujillo</a>'], 'photo_reference': 'Aaw_FcJSS3KJxlBXnoXut50ESyPE77g-CVdtC6ckE7hFDGq78wdZP4GcTOGxS_2FqhdekC7JfUYZ32c3X_39Lrnyudn7kLI_gXkWlvUsZ9sjBVySefa5E3I49bz6Pr-NNVs8xe42y55Su8mBqWE_2H9FjeZU0uH5wpLY7pu1v4bv1omIZ3jX', 'width': 1920}]"|ChIJiRCcLnWP1ZER0KQsQ752Dx8|4.1|ChIJiRCcLnWP1ZER0KQsQ752Dx8|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|618.0|VGRW+RVV, Quito|{'open_now': True}||2.0||-0.1078888|-78.452833
OPERATIONAL|POINT (-78.4535535 -0.1061874)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|La Ramada Manabita|"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111611258717179112376"">Sebastian Jara</a>'], 'photo_reference': 'Aaw_FcKN40yL42dkXH9j3c_F6SUoFuFImqbNHbS2ynbbakFdhhfFWipI-ydcrY9ZK2krwf0vgt-5xthLXYSDKGcdJpkYs01y2KPbNCMLS2C4ekc3OnGdae6N_51UF1lLKif9yvoGU_1GfEYFJImEl_yecp5RfW-2DAubDuEqmMyJkvz_WYGn', 'width': 5504}]"|ChIJpadSwHSP1ZERL8SIIlC0EJo|4.6|ChIJpadSwHSP1ZERL8SIIlC0EJo|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|642.0|Avenida Padre Luis Vaccari, Quito|{'open_now': True}|{'compound_code': 'VGVW+GH Quito, Ecuador', 'global_code': '67F3VGVW+GH'}|2.0||-0.1061874|-78.4535535
OPERATIONAL|POINT (-78.467528 -0.1241037)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Cai Lin|"[{'height': 1334, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104928600945511195341"">CHIFA Cai Lin Conce Administración</a>'], 'photo_reference': 'Aaw_FcJ4qwchqj3S2AiaqeTiODdx_VcjJfC0tp97q9koeznywpFetf-g27KxwFlDZ0l8brzqjCAQN-mqcYCaBO9Ez5z0m0h_WWhD7tN1cr8xthFUpwq-yj1H0NHQhNDhPzSkT68DTft8r0Jd4stgSYM2tK0m-0g0rfbZAg9jy7TV71RXq27g', 'width': 1000}]"|ChIJ3_MuJYyP1ZERnaXGlyc4Rco|4.3|ChIJ3_MuJYyP1ZERnaXGlyc4Rco|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|375.0|Quito|{'open_now': False}|{'compound_code': 'VGGJ+9X Quito, Ecuador', 'global_code': '67F3VGGJ+9X'}|2.0||-0.1241037|-78.467528
OPERATIONAL|POINT (-78.453364 -0.104081)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|KFC|"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100043289400889444488"">Ricardo Cañar</a>'], 'photo_reference': 'Aaw_FcJ89A0_ttAY5ormWNJAi7uDqMOkTQ2TTZ7Agm8cE7mbeTbEgqS68l3WVVpbSBd3cJphGDTKAXgDreJtLa-Mx9yeqZ-lPDknV4DjqAygv1MHFpbIXhjekQB9b4vi-V6o5lPM_6L8AeW09uVOR3p-0xfXa5x7gdXaOPCLolHsCMjhEBw9', 'width': 5312}]"|ChIJ9S5mQXOP1ZERoFZhxgfb_tA|4.0|ChIJ9S5mQXOP1ZERoFZhxgfb_tA|GOOGLE|['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']|2130.0|Geovanny Calles Lascano y, Avenida Padre Luis Vaccari, Quito|{'open_now': False}|{'compound_code': 'VGWW+9M Quito, Ecuador', 'global_code': '67F3VGWW+9M'}|2.0||-0.104081|-78.453364
OPERATIONAL|POINT (-78.4598559 -0.1156608)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|POLLO HORNEADO MY CHICKEN|"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110848302662324125292"">Carlos Rodriguez</a>'], 'photo_reference': 'Aaw_FcKeLdGeuV-9KLNmSxQ2bIYQpJt3EyJgsllboX4j4pr8YNlXd2BzydNzfF-AV_z38OZQxH8uT_0eUmh49w8Ez9bXcFaGF-pPdF7uol8VlfiheeY6eQYaYMAtVl3I1Qy6oDJ95FKGs1h4B4dmNHmPtWaY0qaBFWgOGDCiUy7p2V7lB-wY', 'width': 2448}]"|ChIJfzZaquiP1ZERH5GiaFNMx2Q|4.0|ChIJfzZaquiP1ZERH5GiaFNMx2Q|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|6.0|VGMR+P3J, Avenida La Bota, Quito|||||-0.1156608|-78.4598559
