business_status|geometry|icon|icon_background_color|icon_mask_base_uri|name|photos|place_id|rating|reference|scope|types|user_ratings_total|vicinity|opening_hours|plus_code|price_level|permanently_closed|lat|lon
OPERATIONAL|POINT (-78.51202529999999 -0.2226085)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png|#909CE1|https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet|Hotel Boutique Plaza Sucre|"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104592550752024066617"">Hotel Boutique Plaza Sucre</a>'], 'photo_reference': 'Aaw_FcLWw0stcnR9hrAKmQUFcY6ofatXysGGIrel8A_nK9EzimZVz_exGU0wWIs-m0egf24XTtvKR6Jp7qS38QNn-4lkcR3kzPFySXrCCsibCWP0iaMXEOgHJm77FXfFv6GzDReJn1EzAB-hedwepoqdc2gHlSdMcY9dRDRSdobwXLdaau00', 'width': 1280}]"|ChIJVVUVe3GF1ZERFMaXMaq-4cw|4.3|ChIJVVUVe3GF1ZERFMaXMaq-4cw|GOOGLE|['hair_care', 'lodging', 'restaurant', 'food', 'point_of_interest', 'health', 'establishment']|126.0|Sucre Oe2-36 entre Guayaquil y, Juan José Flores, Quito|{'open_now': True}|{'compound_code': 'QFGQ+X5 Quito, Ecuador', 'global_code': '67F3QFGQ+X5'}|||-0.2226085|-78.51202529999999
OPERATIONAL|POINT (-78.51388349999999 -0.2200254)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|San Francisco|"[{'height': 2458, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105401586742836020765"">San Francisco</a>'], 'photo_reference': 'Aaw_FcLFvJ7Xqr6Rp5_W5CztkrRkvM7XME0B_epLAECjfWy_CqQvi0OMdPFjYk520V0yMheqM1K47ckdhpD9wJejrwH-YU3TArKx-RRmpJ9Rs7JV6oE1JcM_D7OTRH6SeF8ce16lQQNjLM8nqOfkjtFo0jPc6gZeieyJyEejKRwOl9ffBqL7', 'width': 2458}]"|ChIJI_lLX4eZ1ZERISc0PdaFs3I|4.4|ChIJI_lLX4eZ1ZERISc0PdaFs3I|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|117.0|Benalcazar N3-71, Quito|{'open_now': True}|{'compound_code': 'QFHP+XC Quito, Ecuador', 'global_code': '67F3QFHP+XC'}|||-0.2200254|-78.51388349999999
OPERATIONAL|POINT (-78.5130368 -0.219087)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Pollos Gus|"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107571614654364108655"">Carlos Carlin</a>'], 'photo_reference': 'Aaw_FcKT0G_2hPtEvYksxw-XR_XbfYUAsBTRKENG-oJSYimagNMm82qSAUDu5VlABE5OadEb1dxWNnTf5iJ6uAMqk2i_HyacJEUks4S0Ect4jos3p7DgBZgwNY4rtnNqKAJqxMaS0Qr3Mf8-mSII7aj0TqBn4QBIKPuMUnErmMoLcfGmbpsb', 'width': 3998}]"|ChIJvSprxCma1ZERyC_HadOrerY|3.9|ChIJvSprxCma1ZERyC_HadOrerY|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|594.0|Sebastián de Benalcázar, Quito|{'open_now': True}|{'compound_code': 'QFJP+9Q Quito, Ecuador', 'global_code': '67F3QFJP+9Q'}|2.0||-0.219087|-78.5130368
OPERATIONAL|POINT (-78.513858 -0.2214972)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|San Ignacio|"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111963267427116447749"">Rocio Paredes</a>'], 'photo_reference': 'Aaw_FcIYZnOeEX-dBgp-VftFSxTS425GqnPyAq8LU5OXuTAxFOvvDM9NIRutWRCz5b5ot8ks5ug1sDp6yR8Uvt91NHKg1Q9eCCqn8l5l4KXKQV0BCy1IUbHhglyvD0pgrbCIoGp64AbUvgZzijAD5SBp55-THiRaG0mvBo7sLruXxwOTesIZ', 'width': 3000}]"|ChIJOwduPIeZ1ZERJfKtrBHqgvo|4.4|ChIJOwduPIeZ1ZERJfKtrBHqgvo|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|775.0|García Moreno N2-60, Quito|{'open_now': True}|{'compound_code': 'QFHP+CF Quito, Ecuador', 'global_code': '67F3QFHP+CF'}|2.0||-0.2214972|-78.513858
OPERATIONAL|POINT (-78.5121094 -0.2206255)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Fabiolita|"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110873477253946934923"">René Alberto Crespo</a>'], 'photo_reference': 'Aaw_FcI3SjZYFxpf3mXj0GhslJhtyJTLpZoWwBHa-6sgewq2yx4Nu9bxM-Nmvi__oxAKD72P0q9sKXcl_2-kEfzDsrMTNs0l7Tc0mqKd98Y2GhA9wuC4luf4iQGS-BclSGOOKVpRgr1gaByDPb4oOwlEVFgbhSOIJTUrGfPoPZBLvJk46wQB', 'width': 3264}]"|ChIJcQtFDIeZ1ZER2iiAb02pzyY|4.4|ChIJcQtFDIeZ1ZER2iiAb02pzyY|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|204.0|Eugenio Espejo Oe4-17 y, Quito|{'open_now': True}|{'compound_code': 'QFHQ+P5 Quito, Ecuador', 'global_code': '67F3QFHQ+P5'}|||-0.2206255|-78.5121094
OPERATIONAL|POINT (-78.5118597 -0.2196251)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Café del Fraile|"[{'height': 633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101733969000751967854"">Café del Fraile</a>'], 'photo_reference': 'Aaw_FcKuodNO-qwf_qy7AWaMGTUmDj5MJrYLZYv8f9tnkfLPpHBc7orMKWOcK8zU3ZPz5NxrMM5ErTrEQsTR_lIb0YPrWqeYfFqqndTp_Axl-9IejvZbbIGQAUUpECp9q-qoDFZ59JA3a6G2d96HVv_Sg0vM-M6wPzB55SJLRdlBGg1UXslB', 'width': 1125}]"|ChIJbaMbLCia1ZERMbUCqMm-aF0|4.4|ChIJbaMbLCia1ZERMbUCqMm-aF0|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|405.0|Chile, Quito|{'open_now': True}|{'compound_code': 'QFJQ+47 Quito, Ecuador', 'global_code': '67F3QFJQ+47'}|2.0||-0.2196251|-78.5118597
OPERATIONAL|POINT (-78.5110468 -0.220097)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Da Rocco|"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107161440678078385065"">Armin S</a>'], 'photo_reference': 'Aaw_FcL6lpyBTM4BKud9DYmTT2sBe0lU29gpu0-vn3pLApNLxwMDgsZ_kiVDQK2OKsdkrSeL6b4KKoIY5mZGhJcVQy-iNLId0iU1KE5iLWC12cj0IBZZ5LCluiqm3c_RGgvAn9guVLZove6jrWoJAB4nNIhgK6u_31quapMUTnbsIvvKIPGZ', 'width': 4032}]"|ChIJmYKujoeZ1ZERsq5WQ7GRKFk|4.1|ChIJmYKujoeZ1ZERsq5WQ7GRKFk|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|78.0|QFHQ+XH8, Chile, Quito|{'open_now': True}||||-0.220097|-78.5110468
OPERATIONAL|POINT (-78.5098048 -0.2190947)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png|#7B9EB0|https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet|En-Dulce|"[{'height': 818, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107706356083028607877"">En-Dulce</a>'], 'photo_reference': 'Aaw_FcIZtP_xpFZyafllULVsBiGfycMK5lo4EG7-Nu1AQ0dq6VcvwvOzj31MdsB3UQ8aytLHudN-qT062f_HwV7Gu3S80UL5_h_veFT4FxzOPCeraCrmiJGTRKuXla-n_1YRWrKtKSALty_a4mGl_wGedGnR_zeL4PnXssRIa4WB0g--bhub', 'width': 1237}]"|ChIJoSx6Dyia1ZERGyf1N3CA_iU|4.6|ChIJoSx6Dyia1ZERGyf1N3CA_iU|GOOGLE|['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']|438.0|José Joaquín Olmedo Oe3-26 y, Quito|{'open_now': True}|{'compound_code': 'QFJR+93 Quito, Ecuador', 'global_code': '67F3QFJR+93'}|1.0||-0.2190947|-78.5098048
OPERATIONAL|POINT (-78.5110224 -0.2209624)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Oasis|"[{'height': 687, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109679424080762934385"">Restaurante Oasis</a>'], 'photo_reference': 'Aaw_FcIoHf2ScF_K4Tlb4PSI124XjYPb9i7dbi6jyq3bIKZnrgZ2vAQpe_bvQMDcb-PrCfQkSYrU7G3fJ_sgSI0Xsk5r5trt54mpjgPTSQkV84q16ycX8CdssS9JmPccoeHnOpPx6adlqdOFnJtqVUa0uEcbuWhm62avQf9PsOaarI4sQrvW', 'width': 964}]"|ChIJA7XdGCia1ZERoDGmcU_fVmw|4.5|ChIJA7XdGCia1ZERoDGmcU_fVmw|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|71.0|Calle Guayaquil 42 y, Quito|{'open_now': True}|{'compound_code': 'QFHQ+JH Quito, Ecuador', 'global_code': '67F3QFHQ+JH'}|||-0.2209624|-78.5110224
OPERATIONAL|POINT (-78.50975629999999 -0.2191318)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Cebiches de la Rumiñahui|"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118342340855555395166"">Amanda Egebjerg-Møller</a>'], 'photo_reference': 'Aaw_FcI-n7RAqcgCPwc5eb2Ra4o5diAY_uoLJvghegxAhpOaEta7TpErVQUvXA2JGxD8SpIE-p_-a2W5IhNOyqkH5EiOv0GGDrVQUdthBfkqM03GPxQfaH21Ji-hkh1fMq8H0tIOghKDgnXhNAQET97dCtsMd8D8Y8J-uoq2iSSfQCculLqt', 'width': 4000}]"|ChIJJdKbDiia1ZERt650Lmp1HyY|4.2|ChIJJdKbDiia1ZERt650Lmp1HyY|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|380.0|José Joaquín Olmedo Oe3-18, Quito|{'open_now': True}|{'compound_code': 'QFJR+83 Quito, Ecuador', 'global_code': '67F3QFJR+83'}|2.0||-0.2191318|-78.50975629999999
