business_status|geometry|icon|icon_background_color|icon_mask_base_uri|name|photos|place_id|rating|reference|scope|types|user_ratings_total|vicinity|opening_hours|plus_code|price_level|permanently_closed|lat|lon
OPERATIONAL|POINT (-78.4573401 -0.1099149)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Mayflower|"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114018803823783434586"">Alex Carrera</a>'], 'photo_reference': 'AUjq9jkx4G96rlnrdWxqClYy5Ylu7l9xcUUaVA2Ue4v1N1o_v_hxJDkcJhuNrY323CEVZ_hlCFO-TBO8IDUR5MW7ikLLBQTs3OnrCs98jw-PhALiOtkrOY5xh9Ei7B7iIWbLKiGTnNBgFZu2MOEMa0og0xvhb3rYzugsnPwuAyLpfRhhyYbv', 'width': 1920}]"|ChIJV7Hz9nWP1ZERobSmvSuurm0|4.1|ChIJV7Hz9nWP1ZERobSmvSuurm0|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|54.0|VGRV+23M, Panamericana Norte, Quito|{'open_now': True}||||-0.1099149|-78.4573401
OPERATIONAL|POINT (-78.4652594 -0.1198871)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Los Encebollados de Panchito|"[{'height': 3235, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109983920767384448899"">Los Encebollados de Panchito</a>'], 'photo_reference': 'AUjq9jlG6GAlGChQJJ8xSI5nq_kOvHDgzjNlKBuoTPmNnYA4qMRY7Pf2X91czJV7bWbu8BCrRZlByXc5PnTAMabf6NFg5XgIHGblm2nLKJjX393WgclysyL6ZWgYq0Big4ifuOSvo-O7XRPP1OGja5w8nZUFOpIURPKJMRchVZMhI9Bb5s1m', 'width': 5009}]"|ChIJ_36TKIyP1ZERhEe3QEB4Qic|4.5|ChIJ_36TKIyP1ZERhEe3QEB4Qic|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|230.0|Avenida Jorge Garces, Quito|{'open_now': True}|{'compound_code': 'VGJM+2V Quito, Ecuador', 'global_code': '67F3VGJM+2V'}|||-0.1198871|-78.4652594
OPERATIONAL|POINT (-78.4575256 -0.1084616)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Ch Farina|"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108577688963946097745"">Alexander Bermeo</a>'], 'photo_reference': 'AUjq9jmhclVOqU73g2FqK0MMsJ7DKGy8Lmys8xjJM3L9quIxAQ7lSa59DzVS5kvfSDLifUuTpPZq8zFyuggCBAadCiodUKU4ttqlvGw_ZsY3i6e32n5IpjKe5V_cWIf_VHoOPFIf7RyxQ_mU4YV9zx7IQRA44xXdg4yrdb5yO29rN0uC_0Kd', 'width': 4032}]"|ChIJfRqe5nSP1ZERZvapRehtMWs|4.2|ChIJfRqe5nSP1ZERZvapRehtMWs|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|104.0|En Portal Shopping Patio de comidas, Panamericana norte, y, Quito|{'open_now': True}|{'compound_code': 'VGRR+JX Quito, Ecuador', 'global_code': '67F3VGRR+JX'}|2.0||-0.1084616|-78.4575256
OPERATIONAL|POINT (-78.46539229999999 -0.1229637)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|La casucha del manaba|"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109800104300181113458"">La casucha del manaba</a>'], 'photo_reference': 'AUjq9jnrwLwAo8MJ1LL7eAtBGn06EDrFnM3we19MvqveUwo032uU1JSR6oKKrIG_DMeqPWMkk5-0xGlZXB_qCoaVU_9-huZrPHO0qfsKAsZrBnYvuuC0yYSeWE-isdj1RKydWlF9SQH9htH2Ck80o1jUZarI-H9M5VWKCvfs43NWQc2tb9hP', 'width': 3096}]"|ChIJIyZ_bY6P1ZERDEm7QJkxvWA|4.5|ChIJIyZ_bY6P1ZERDEm7QJkxvWA|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|66.0|Calle, César Endara N64-229, Quito|{'open_now': False}|{'compound_code': 'VGGM+RR Quito, Ecuador', 'global_code': '67F3VGGM+RR'}|||-0.1229637|-78.46539229999999
OPERATIONAL|POINT (-78.4533703 -0.1075254)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Pizza Hut Carapungo|"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104385123212801088995"">Pizza Hut Carapungo</a>'], 'photo_reference': 'AUjq9jn6c5GpMG-n1KCKNo1eZj72LCxhV_BhTyvEYA46TF0r7k9cf5ndy8f1NLeFqPX4WiNFTtcwLxIkb3C_aAM9ISPWEYpKr2zUYTgwmq2LLCZInFqKrZz-7x4uf4xbugt38qi6CRMEDTMBPjaprkN091vLYYmiJ6V_YuLNwg3TnFzvL9WV', 'width': 720}]"|ChIJCXRg13SP1ZERIye7fqfy_ho|4.2|ChIJCXRg13SP1ZERIye7fqfy_ho|GOOGLE|['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']|319.0|Avenida Padre Luis Vaccari, Quito|{'open_now': True}|{'compound_code': 'VGRW+XM Quito, Ecuador', 'global_code': '67F3VGRW+XM'}|2.0||-0.1075254|-78.4533703
OPERATIONAL|POINT (-78.452833 -0.1078888)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Los Ceviches de la Rumiñahui|"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112490989502358943943"">Nelson Trujillo</a>'], 'photo_reference': 'AUjq9jkPzZpjVfFOkz4X81EKNtiwzRjtbgE8kOV1_3AclPYEwLiK6LoURuACmg9EHPp2id3V499uvR07o6aR4nrkQQQ0UwzxzNi3KONkjU84l2BpCzJO5eevdACjpP4xHtlYcpTM2dIQSkfNzp2Q1G37KwnUh6f8PfSXdqPeQMcdwWsLc2Fy', 'width': 1920}]"|ChIJiRCcLnWP1ZER0KQsQ752Dx8|4.1|ChIJiRCcLnWP1ZER0KQsQ752Dx8|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|607.0|VGRW+RVV, Quito|{'open_now': True}||2.0||-0.1078888|-78.452833
OPERATIONAL|POINT (-78.4535535 -0.1061874)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|La Ramada Manabita|"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111611258717179112376"">Sebastian Jara</a>'], 'photo_reference': 'AUjq9jnZWtZCb7PQ9bkmAruuEPMJeTPfJlQn983O4hl4a0EbHBYwvJTsX89erRltWpeBOZUEJDbIF66oWbmDLzhwIrqYJ0x6LIPM6xWexNLH7RJEl_5bxTln3gKwqqNJxnGLm4SJ-ce6mI3JhePGDz5w5kNWC5EkqlrokQPTEvmJSvPbzwJq', 'width': 5504}]"|ChIJpadSwHSP1ZERL8SIIlC0EJo|4.6|ChIJpadSwHSP1ZERL8SIIlC0EJo|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|608.0|Avenida Padre Luis Vaccari, Quito|{'open_now': True}|{'compound_code': 'VGVW+GH Quito, Ecuador', 'global_code': '67F3VGVW+GH'}|2.0||-0.1061874|-78.4535535
OPERATIONAL|POINT (-78.467528 -0.1241037)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Cai Lin|"[{'height': 1334, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104928600945511195341"">Carlos Conce</a>'], 'photo_reference': 'AUjq9jlggofTe02mnqH1jvld5180zN020nuSBEnsggdOT5xsMH8sj7AphL2gUPEmkC4S_-jOS3Ef73pP_L3LAoIFjB5Z9gXIGA8lTs4GFenZMl8GzgWQ1F6gGt5-3pXxFS7R_98xCkTHvkFLCA_qQC7Xe08hi7KIvsxkT2NrfDb6drViejeu', 'width': 1000}]"|ChIJ3_MuJYyP1ZERnaXGlyc4Rco|4.3|ChIJ3_MuJYyP1ZERnaXGlyc4Rco|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|366.0|Quito|{'open_now': True}|{'compound_code': 'VGGJ+9X Quito, Ecuador', 'global_code': '67F3VGGJ+9X'}|2.0||-0.1241037|-78.467528
OPERATIONAL|POINT (-78.453364 -0.104081)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|KFC|"[{'height': 3984, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100043289400889444488"">Ricardo Cañar</a>'], 'photo_reference': 'AUjq9jmw1Jybrp5xnUxtPtM-LB0AUmkP5v8FJuHeXM-ZhZo7V57Lrxzqmjdnl1AvRn-rLnKkSYvmdz_RsP5tBGBgHIIoCTdEbouC8NWRdyjtAAYR2W9-y0GhaT7xTlcvAFXqMptIe-fLwZCLpmSmqckSsptcRYvyteXTSlXTIoOU7yRVF3Zr', 'width': 5312}]"|ChIJ9S5mQXOP1ZERoFZhxgfb_tA|4.0|ChIJ9S5mQXOP1ZERoFZhxgfb_tA|GOOGLE|['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']|2086.0|Geovanny Calles Lascano y, Avenida Padre Luis Vaccari, Quito|{'open_now': True}|{'compound_code': 'VGWW+9M Quito, Ecuador', 'global_code': '67F3VGWW+9M'}|2.0||-0.104081|-78.453364
OPERATIONAL|POINT (-78.4549681 -0.0956055)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Delma Gourmet|"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102293663739553491326"">Amparo Abata</a>'], 'photo_reference': 'AUjq9jkBjP4SGLkzicExC_xO28C37plP5nyfMBseBRibi8rNt_QUl3PV2ep4zswFCtiqdD0eQ6aT5Dc0YjCZI0NqDQFveW7gKMAXdXzL5unGoPTc9GFLJd3iZdcvJu6zEh6itoUiBsM3COLNBNtJYNR3K8bccAI9U5GW_CkN5aoS3W4xaCRp', 'width': 4128}]"|ChIJRZJWdGuP1ZERXaJSlnEW1oI|4.2|ChIJRZJWdGuP1ZERXaJSlnEW1oI|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|165.0|WG3W+Q23, Galo Plaza Lasso, Quito|{'open_now': True}||||-0.09560550000000002|-78.4549681
