geometry|lat|lon|name|rating|types|zona_estudio|n_types|type_0|type_1|type_2|type_3|type_4|type_5|type_6|type_7|type_8
POINT (-78.4573401 -0.1099149)|-0.1099149|-78.4573401|Mayflower|4.1|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4652594 -0.1198871)|-0.1198871|-78.4652594|Los Encebollados de Panchito|4.5|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4575256 -0.1084616)|-0.1084616|-78.4575256|Ch Farina|4.2|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.46539229999999 -0.1229637)|-0.1229637|-78.46539229999999|La casucha del manaba|4.5|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4533703 -0.1075254)|-0.1075254|-78.4533703|Pizza Hut Carapungo|4.2|['meal_delivery', 'meal_takeaway', 'restaurant', 'food']|LA BOTA|4|meal_delivery|meal_takeaway|restaurant|food|||||
POINT (-78.452833 -0.1078888)|-0.1078888|-78.452833|Los Ceviches de la Rumiñahui|4.1|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4535535 -0.1061874)|-0.1061874|-78.4535535|La Ramada Manabita|4.6|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.467528 -0.1241037)|-0.1241037|-78.467528|Cai Lin|4.3|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.453364 -0.104081)|-0.104081|-78.453364|KFC|4.0|['meal_takeaway', 'restaurant', 'food']|LA BOTA|3|meal_takeaway|restaurant|food||||||
POINT (-78.4549681 -0.0956055)|-0.0956055|-78.4549681|Delma Gourmet|4.2|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4598705 -0.1156888)|-0.1156888|-78.4598705|POLLO HORNEADO MY CHICKEN|4.0|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4595312 -0.1160554)|-0.1160554|-78.4595312|King Pollo||['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4600634 -0.1157796)|-0.1157796|-78.4600634|Cevicheria Sazon Manabita|4.4|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4604425 -0.1153647)|-0.1153647|-78.4604425|Horno de matilde|4.5|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4582332 -0.115923)|-0.115923|-78.4582332|Panificadora + Que Pan|4.5|['bakery', 'store', 'restaurant', 'food']|LA BOTA|4|bakery|store|restaurant|food|||||
POINT (-78.4568805 -0.1170998)|-0.1170998|-78.4568805|Pescaderia La Bota|4.3|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4554417 -0.1182694)|-0.1182694|-78.4554417|Ké Pinchos|3.0|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4634084 -0.1190248)|-0.1190248|-78.4634084|Restaurante Comida Típica||['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
POINT (-78.4626435 -0.1198658)|-0.1198658|-78.4626435|Encebollados Tiburón|5.0|['restaurant', 'food']|LA BOTA|2|restaurant|food|||||||
