business_status|geometry|icon|icon_background_color|icon_mask_base_uri|name|photos|place_id|rating|reference|scope|types|user_ratings_total|vicinity|opening_hours|plus_code|price_level|permanently_closed|lat|lon
OPERATIONAL|POINT (-78.51202529999999 -0.2226085)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png|#909CE1|https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet|Hotel Boutique Plaza Sucre|"[{'height': 720, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104592550752024066617"">Hotel Boutique Plaza Sucre</a>'], 'photo_reference': 'AUjq9jnQbB4nCpab0uFQpIDP412otJ1uMiPl2ybBefmlstlsYLKEvWFBKiZwhYQN3eQLeibghcXHgbAe-ZFgEcNFP0iOtRI2ozqX75w5IOWnb8lpXV-RdcfVDwh-EWchmR1UML45unjGiPo-QxsLfpwJ1PKU_v94pyu6UjiDQue_NQTrVpnF', 'width': 1280}]"|ChIJVVUVe3GF1ZERFMaXMaq-4cw|4.3|ChIJVVUVe3GF1ZERFMaXMaq-4cw|GOOGLE|['lodging', 'hair_care', 'health', 'restaurant', 'food', 'point_of_interest', 'establishment']|126.0|Sucre Oe2-36 entre Guayaquil y, Juan José Flores, Quito|{'open_now': True}|{'compound_code': 'QFGQ+X5 Quito, Ecuador', 'global_code': '67F3QFGQ+X5'}|||-0.2226085|-78.51202529999999
OPERATIONAL|POINT (-78.5129054 -0.2137841)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|El Ventanal|"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115177644458296225925"">Lizbeth Fernández</a>'], 'photo_reference': 'AUjq9jnv0IULouDQi4lyX43Rmxd6ERQwI7V01R2F8PMV8-HCHeLtxUY-wvd_CTd6xzLxdMV1OtCaLwYGU0S56wKKc7EvZsU1b2dh6y6GMAH13Y4Br5eZQEMmUnnQ3sK0vu7aKrx7b2w3P6B_GbkTYidJHoZK_fsjMg1ctlh25E17xXp6aJ5F', 'width': 4032}]"|ChIJM50G6C6a1ZERqZ6i9J9wHhM|4.5|ChIJM50G6C6a1ZERqZ6i9J9wHhM|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|951.0|H de Granado 345, Quito|{'open_now': False}|{'compound_code': 'QFPP+FR Quito, Ecuador', 'global_code': '67F3QFPP+FR'}|3.0||-0.2137841|-78.5129054
OPERATIONAL|POINT (-78.51388349999999 -0.2200254)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|San Francisco|"[{'height': 2458, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105401586742836020765"">San Francisco</a>'], 'photo_reference': 'AUjq9jkyOKNY_IOCRRsNhYwL19Z8PITYi6V6yN9jdUPr-Aafa8HWfinU9lzBHbAooGxKaIzTCiaUl1XUU5tyQON2t7mqeaMfr8t_1CV3OUj8vDCRCRF7-qGO0JZeVgylR2lJWm9WVHR-3EQ0Wunv182uAH5EhRTcMNdGkyO-RwWFfgO9do3-', 'width': 2458}]"|ChIJI_lLX4eZ1ZERISc0PdaFs3I|4.4|ChIJI_lLX4eZ1ZERISc0PdaFs3I|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|113.0|Benalcazar N3-71, Quito|{'open_now': True}|{'compound_code': 'QFHP+XC Quito, Ecuador', 'global_code': '67F3QFHP+XC'}|||-0.2200254|-78.51388349999999
OPERATIONAL|POINT (-78.5130368 -0.219087)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Pollos Gus|"[{'height': 2998, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107571614654364108655"">Carlos Carlin</a>'], 'photo_reference': 'AUjq9jnmH9o-CkLxOaIW6o5I1MCtcVnDMncQaRiol5uS-0se8drvkVhIS2BHODn9kNrY3wpPzA6qqAIAjVsQzqpNxCnFEn6xLhGMVxM__tGHdQ3kNVhfIrGoiH_OSEEitYdpZHaIVo4i04CgTJSZ-lUhBezv7g8UjcSppvNHdqayMCIjs5Ol', 'width': 3998}]"|ChIJvSprxCma1ZERyC_HadOrerY|3.9|ChIJvSprxCma1ZERyC_HadOrerY|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|581.0|QFJP+9Q8, Sebastián de Benalcázar, Quito|{'open_now': True}||2.0||-0.219087|-78.5130368
OPERATIONAL|POINT (-78.513858 -0.2214972)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|San Ignacio|"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111963267427116447749"">Rocio Paredes</a>'], 'photo_reference': 'AUjq9jnSQagRfxEzDYT5FFy0hvJU7UxBlYYlDs3VX-8Ys7AoHTSEU6_bDANeTUlr3qI_hQ4Ak9TLwJixJhwkKeluk5kqtzrSKIvWm7AKXYB00Nct2dx9voCrhSPvwXTPbZLE1DNWIa17dulKWib8LBd1hf7XjZHYe0jRWP7uBAOsqREw6XDG', 'width': 3000}]"|ChIJOwduPIeZ1ZERJfKtrBHqgvo|4.4|ChIJOwduPIeZ1ZERJfKtrBHqgvo|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|715.0|García Moreno N2-60, Quito|{'open_now': True}|{'compound_code': 'QFHP+CF Quito, Ecuador', 'global_code': '67F3QFHP+CF'}|2.0||-0.2214972|-78.513858
OPERATIONAL|POINT (-78.5121094 -0.2206255)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Fabiolita|"[{'height': 1504, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110873477253946934923"">René Alberto Crespo</a>'], 'photo_reference': 'AUjq9jkGCOVprTGr2cSom-42E1dzIMWr0Y3RNrQACydE1jyoAMSfLvOpAjorjv97Vlsg6opBKyQqxxDeDQop7bMsQhGIv6Lim0AF1azW-v1-0-FvuEZegJMv3Iv0qfGAjkh0LxUXrI5uMdrn-BQAwKfDs1kogt3NTmB5NfxRY5ofC5E648XO', 'width': 3264}]"|ChIJcQtFDIeZ1ZER2iiAb02pzyY|4.4|ChIJcQtFDIeZ1ZER2iiAb02pzyY|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|198.0|Eugenio Espejo Oe4-17 y, Quito|{'open_now': True}|{'compound_code': 'QFHQ+P5 Quito, Ecuador', 'global_code': '67F3QFHQ+P5'}|||-0.2206255|-78.5121094
OPERATIONAL|POINT (-78.5118597 -0.2196251)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Café del Fraile|"[{'height': 633, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101733969000751967854"">Café del Fraile</a>'], 'photo_reference': 'AUjq9jl-norKeQ5nLItt9vk9RE_arDl235Ye-rHrRwSMQyxJZyfj0V11c_-9ltOHMv4VAWPPYg28tAN7ZDf0_8NDXw95AMARoQ3W7vJUwDy0ZqrYkaPCYdJECju-yUBWeET6GzT3ry96BXBCCjubW7FXfHOFvF5GOU_c2rLPd51f-i6WvjNN', 'width': 1125}]"|ChIJbaMbLCia1ZERMbUCqMm-aF0|4.4|ChIJbaMbLCia1ZERMbUCqMm-aF0|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|401.0|Chile, Quito|{'open_now': True}|{'compound_code': 'QFJQ+47 Quito, Ecuador', 'global_code': '67F3QFJQ+47'}|2.0||-0.2196251|-78.5118597
OPERATIONAL|POINT (-78.5110468 -0.220097)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Da Rocco|"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107161440678078385065"">Armin S</a>'], 'photo_reference': 'AUjq9jn8MPLC3mzzHHwiMd78d4q6Cj_WfbH8eGO2u1sVg7-iaHYXw3kDrJNAYtFrPKM7xoYOAAdlrkeyYy4QsMqDFZ8UQlb76vKTMwwjLvHiFCs5hTOkNSBvrfQzBMIJWBSJbdwma8EW0Ap-_Z6FIG7iUfJJNtNzJ1cN3Ttx6428sFhgmrya', 'width': 4032}]"|ChIJmYKujoeZ1ZERsq5WQ7GRKFk|4.1|ChIJmYKujoeZ1ZERsq5WQ7GRKFk|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|76.0|QFHQ+XH8, Chile, Quito|{'open_now': True}||||-0.220097|-78.5110468
OPERATIONAL|POINT (-78.5098048 -0.2190947)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png|#7B9EB0|https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet|En-Dulce|"[{'height': 818, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107706356083028607877"">En-Dulce</a>'], 'photo_reference': 'AUjq9jnRsUYEu_JkJGEYdGkPGu-r0tbZEr2pBIRaTaB5Gv2wQVFG7xgt3MBNLiV-Xi9MqZIpFpLsMY-hMO3-6yH_9Cwq6EEWfxuREYgrRnAbt0FDjXhFkefZsDPu7ul0Ux-dwuY13VTozpm-CeGWoYTaY06jAJmWeeRPz0iPw5Hw90uiU6Pd', 'width': 1237}]"|ChIJoSx6Dyia1ZERGyf1N3CA_iU|4.6|ChIJoSx6Dyia1ZERGyf1N3CA_iU|GOOGLE|['bakery', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']|430.0|José Joaquín Olmedo Oe3-26 y, Quito|{'open_now': True}|{'compound_code': 'QFJR+93 Quito, Ecuador', 'global_code': '67F3QFJR+93'}|1.0||-0.2190947|-78.5098048
OPERATIONAL|POINT (-78.5110224 -0.2209624)|https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png|#FF9E67|https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet|Oasis|"[{'height': 687, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109679424080762934385"">Restaurante Oasis</a>'], 'photo_reference': 'AUjq9jmBZZdOe2la8Koh-Ax0fLCrA1mDRcdm4XIEv5yrkbg3RvH6hnGSGpEcRDpEK3KjWZdLFMhDDilKoKNKNK3yf3EGAZkZPpKQqp4zep020LtNbSs7v0ngwYA1oNbdie4DGT4tVxzT1PldALNHGqq7lgI0EpISqRDUAPPmzn1-wnpEOW3E', 'width': 964}]"|ChIJA7XdGCia1ZERoDGmcU_fVmw|4.5|ChIJA7XdGCia1ZERoDGmcU_fVmw|GOOGLE|['restaurant', 'food', 'point_of_interest', 'establishment']|72.0|Calle Guayaquil 42 y, Quito|{'open_now': True}|{'compound_code': 'QFHQ+JH Quito, Ecuador', 'global_code': '67F3QFHQ+JH'}|||-0.2209624|-78.5110224
